品名,出し方,備考
アイスピック,家庭ごみ,新聞紙などに包んで
アイロン,家庭ごみ,金属製のものは小物金属　回収ボックスへ  電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックスへ
アイロン台,粗大ごみ,事前申し込み制
アコーディオン,粗大ごみ,事前申し込み制
アコーディオンカーテン,粗大ごみ,事前申し込み制
アダプター（電源用）,小型電子機器,小型電子機器　回収ボックスへ
圧力鍋,小物金属,小物金属　回収ボックスへ
油（食用油）,家庭ごみ,布や紙にしみこませるか固形化して  できるだけペットボトルに入れてスーパーなどの食用油　回収ボックスへ
油（機械用）,市が収集しないもの,（注）専門の処理業者に依頼
油こし器（金属製）,家庭ごみ,
油差し,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
油びん,かん・びん,油をよく落として
油よけ（アルミ製）,家庭ごみ,
雨具（カッパ）,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
雨戸,粗大ごみ,事前申し込み制
編み機,粗大ごみ,事前申し込み制
網（バーベキュー用）,小物金属,小物金属　回収ボックスへ
網（昆虫採集用など）,家庭ごみ,
網戸,粗大ごみ,事前申し込み制
編み針,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
アルバム,家庭ごみ,
アルミかん（飲食物用）,かん・びん,
アルミはく（台所用）,家庭ごみ,
アルミトレイ,小物金属,よく洗って　小物金属　回収ボックスへ
泡だて器,小物金属,小物金属　回収ボックスへ
あんか,家庭ごみ,
安全ピン,小物金属,透明のビニール袋に入れて　小物金属　回収ボックスへ
アンテナ（テレビ用）,粗大ごみ,事前申し込み制
アンテナ（テレビ用以外のもの）,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
アンプ,粗大ごみ,事前申し込み制
衣装ケース,粗大ごみ,事前申し込み制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
いす,粗大ごみ,事前申し込み制
板ガラス,家庭ごみ,新聞紙などに包んで  指定袋に入らない大きさのものは粗大ごみ
板（金属製）,小物金属,小物金属　回収ボックスへ  30センチを超えるものは粗大ごみ
板（金属製以外）,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
一輪車,粗大ごみ,事前申し込み制
一升びん,かん・びん,できるだけ販売店へ
一斗缶,家庭ごみ,中身を使い切って
井戸ポンプ（家庭用）,粗大ごみ,事前申し込み制
犬小屋,粗大ごみ,事前申し込み制
イヤホン,小型電子機器,小型電子機器　回収ボックスへ
衣類,古着,古着　回収ボックスへ
衣類乾燥機（ドラム式）,市が収集しないもの,（注）販売店などに引き取りを依頼
入れ歯,家庭ごみ,
インクカートリッジ,家庭ごみ,できるだけ販売店へ（市役所・区役所にも回収箱があります）
インスタントめんの袋,プラスチック,
ウインドウファン（送風機）,粗大ごみ,事前申し込み制
植木棚,粗大ごみ,事前申し込み制
植木の枝,家庭ごみ,（参考）「緑のリサイクル」
植木ばさみ,小物金属,小物金属　回収ボックス
植木鉢,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ウォーターサーバー用ボトル（販売店等の引取がない場合）,右記の通り,プラマークがついてるものはプラスチック  PETマークがついてるものはペットボトル
うちわ,家庭ごみ,
腕時計,小型電子機器,小型電子機器　回収ボックス　へ
乳母車（ベビーカー）,粗大ごみ,事前申し込み制
梅酒のびん,かん・びん,
エアークッション（梱包材）,プラスチック,
エアコン,市が収集しないもの,（注）販売店などに引き取りを依頼
映写機,粗大ごみ,事前申し込み制
絵の具のチューブ（金属製）,小物金属,中身を使い切って　小物金属　回収ボックス　へ
絵の具のチューブ（プラ製）,プラスチック,中身を使い切って
MD,家庭ごみ,
MDレコーダー,粗大ごみ,事前申し込み制 小型（概ね25センチ×8.5センチ以内）のものは、小型電子機器　回収ボックス　へ
LED蛍光灯,家庭ごみ,
LD,家庭ごみ,
LDプレーヤー,粗大ごみ,事前申し込み制
LPガスボンベ,市が収集しないもの,（注）販売店に相談　（参考）「市が収集しないもの」
LPレコード,家庭ごみ,
エレキギター,粗大ごみ,事前申し込み制
鉛筆削り,家庭ごみ,
オイル類（食用のものを除く）,市が収集しないもの,（注）専門の処理業者に依頼
オイル缶（中身のないもの）,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
オイルヒーター,市が収集しないもの,（注）専門の処理業者に依頼
応接セット,粗大ごみ,事前申し込み制
オーディオラック,粗大ごみ,事前申し込み制
